name,opponent_team_name,is_home,season,gameweek,team_name,position,y,y_Naive,y_LGBMRegressor_no_exog,y_LGBMRegressor_with_exog,y_LSTMWithReLU
Bukayo Saka,Wolves,True,24,14,Arsenal,MID,8.0,,,,
David Raya Martin,Wolves,True,24,14,Arsenal,GK,2.0,,,,
Declan Rice,Wolves,True,24,14,Arsenal,MID,2.0,,,,
Eddie Nketiah,Wolves,True,24,14,Arsenal,FWD,1.0,,,,
Fábio Ferreira Vieira,Wolves,True,24,14,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Wolves,True,24,14,Arsenal,FWD,2.0,,,,
Gabriel Martinelli Silva,Wolves,True,24,14,Arsenal,MID,3.0,,,,
Gabriel dos Santos Magalhães,Wolves,True,24,14,Arsenal,DEF,2.0,,,,
Jakub Kiwior,Wolves,True,24,14,Arsenal,DEF,1.0,,,,
Jorge Luiz Frello Filho,Wolves,True,24,14,Arsenal,MID,1.0,,,,
Jurriën Timber,Wolves,True,24,14,Arsenal,DEF,0.0,,,,
Kai Havertz,Wolves,True,24,14,Arsenal,MID,1.0,,,,
Karl Hein,Wolves,True,24,14,Arsenal,GK,0.0,,,,
Kieran Tierney,Wolves,True,24,14,Arsenal,DEF,0.0,,,,
Leandro Trossard,Wolves,True,24,14,Arsenal,MID,2.0,,,,
Martin Ødegaard,Wolves,True,24,14,Arsenal,MID,10.0,,,,
Oleksandr Zinchenko,Wolves,True,24,14,Arsenal,DEF,5.0,,,,
Reiss Nelson,Wolves,True,24,14,Arsenal,MID,0.0,,,,
Thomas Partey,Wolves,True,24,14,Arsenal,MID,0.0,,,,
William Saliba,Wolves,True,24,14,Arsenal,DEF,1.0,,,,
Aaron Ramsdale,Luton,False,24,15,Arsenal,GK,0.0,,,,
Benjamin White,Luton,False,24,15,Arsenal,DEF,4.0,,,,
Bukayo Saka,Luton,False,24,15,Arsenal,MID,5.0,,,,
David Raya Martin,Luton,False,24,15,Arsenal,GK,1.0,,,,
Declan Rice,Luton,False,24,15,Arsenal,MID,9.0,,,,
Eddie Nketiah,Luton,False,24,15,Arsenal,FWD,0.0,,,,
Fábio Ferreira Vieira,Luton,False,24,15,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Luton,False,24,15,Arsenal,FWD,11.0,,,,
Gabriel Martinelli Silva,Luton,False,24,15,Arsenal,MID,7.0,,,,
Gabriel dos Santos Magalhães,Luton,False,24,15,Arsenal,DEF,1.0,,,,
Jakub Kiwior,Luton,False,24,15,Arsenal,DEF,1.0,,,,
Jorge Luiz Frello Filho,Luton,False,24,15,Arsenal,MID,0.0,,,,
Jurriën Timber,Luton,False,24,15,Arsenal,DEF,0.0,,,,
Kai Havertz,Luton,False,24,15,Arsenal,MID,7.0,,,,
Karl Hein,Luton,False,24,15,Arsenal,GK,0.0,,,,
Kieran Tierney,Luton,False,24,15,Arsenal,DEF,0.0,,,,
Leandro Trossard,Luton,False,24,15,Arsenal,MID,1.0,,,,
Martin Ødegaard,Luton,False,24,15,Arsenal,MID,5.0,,,,
Oleksandr Zinchenko,Luton,False,24,15,Arsenal,DEF,1.0,,,,
Reiss Nelson,Luton,False,24,15,Arsenal,MID,0.0,,,,
Thomas Partey,Luton,False,24,15,Arsenal,MID,0.0,,,,
William Saliba,Luton,False,24,15,Arsenal,DEF,1.0,,,,
Aaron Ramsdale,Aston Villa,False,24,16,Arsenal,GK,0.0,,,,
Benjamin White,Aston Villa,False,24,16,Arsenal,DEF,2.0,,,,
Bukayo Saka,Aston Villa,False,24,16,Arsenal,MID,2.0,,,,
David Raya Martin,Aston Villa,False,24,16,Arsenal,GK,2.0,,,,
Declan Rice,Aston Villa,False,24,16,Arsenal,MID,1.0,,,,
Eddie Nketiah,Aston Villa,False,24,16,Arsenal,FWD,1.0,,,,
Fábio Ferreira Vieira,Aston Villa,False,24,16,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Aston Villa,False,24,16,Arsenal,FWD,2.0,,,,
Gabriel Martinelli Silva,Aston Villa,False,24,16,Arsenal,MID,2.0,,,,
Gabriel dos Santos Magalhães,Aston Villa,False,24,16,Arsenal,DEF,2.0,,,,
Jakub Kiwior,Aston Villa,False,24,16,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Aston Villa,False,24,16,Arsenal,MID,0.0,,,,
Jurriën Timber,Aston Villa,False,24,16,Arsenal,DEF,0.0,,,,
Kai Havertz,Aston Villa,False,24,16,Arsenal,MID,2.0,,,,
Karl Hein,Aston Villa,False,24,16,Arsenal,GK,0.0,,,,
